DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
23 March 2019 19:30,5106,-,All Island
23 March 2019 19:45,5037,-,All Island
23 March 2019 20:00,4962,-,All Island
23 March 2019 20:15,4876,-,All Island
23 March 2019 20:30,4795,-,All Island
23 March 2019 20:45,4717,-,All Island
23 March 2019 21:00,4634,-,All Island
23 March 2019 21:15,4549,-,All Island
23 March 2019 21:30,4460,-,All Island
23 March 2019 21:45,4374,-,All Island
23 March 2019 22:00,4284,-,All Island
23 March 2019 22:15,4181,-,All Island
23 March 2019 22:30,4105,-,All Island
23 March 2019 22:45,4028,-,All Island
23 March 2019 23:00,3982,-,All Island
23 March 2019 23:15,3996,-,All Island
23 March 2019 23:30,3922,-,All Island
23 March 2019 23:45,3851,-,All Island
24 March 2019 00:00,3776,-,All Island
24 March 2019 00:15,3693,-,All Island
24 March 2019 00:30,3639,-,All Island
24 March 2019 00:45,3557,-,All Island
24 March 2019 01:00,3494,-,All Island
24 March 2019 01:15,3469,-,All Island
24 March 2019 01:30,3403,-,All Island
24 March 2019 01:45,3350,-,All Island
24 March 2019 02:00,3294,-,All Island
24 March 2019 02:15,3267,-,All Island
24 March 2019 02:30,3226,-,All Island
24 March 2019 02:45,3196,-,All Island
24 March 2019 03:00,3146,-,All Island
24 March 2019 03:15,3136,-,All Island
24 March 2019 03:30,3126,-,All Island
24 March 2019 03:45,3098,-,All Island
24 March 2019 04:00,3104,-,All Island
24 March 2019 04:15,3074,-,All Island
24 March 2019 04:30,3084,-,All Island
24 March 2019 04:45,3050,-,All Island
24 March 2019 05:00,3076,-,All Island
24 March 2019 05:15,3053,-,All Island
24 March 2019 05:30,3075,-,All Island
24 March 2019 05:45,3115,-,All Island
24 March 2019 06:00,3132,-,All Island
24 March 2019 06:15,3112,-,All Island
24 March 2019 06:30,3099,-,All Island
24 March 2019 06:45,3121,-,All Island
24 March 2019 07:00,3195,-,All Island
24 March 2019 07:15,3276,-,All Island
24 March 2019 07:30,3352,-,All Island
24 March 2019 07:45,3421,-,All Island
24 March 2019 08:00,3496,-,All Island
24 March 2019 08:15,3578,-,All Island
24 March 2019 08:30,3663,-,All Island
24 March 2019 08:45,3753,-,All Island
24 March 2019 09:00,3828,-,All Island
24 March 2019 09:15,3928,-,All Island
24 March 2019 09:30,4004,-,All Island
24 March 2019 09:45,4054,-,All Island
24 March 2019 10:00,4115,-,All Island
24 March 2019 10:15,4180,-,All Island
24 March 2019 10:30,4210,-,All Island
24 March 2019 10:45,4210,-,All Island
24 March 2019 11:00,4211,-,All Island
24 March 2019 11:15,4276,-,All Island
24 March 2019 11:30,4283,-,All Island
24 March 2019 11:45,4310,-,All Island
24 March 2019 12:00,4374,-,All Island
24 March 2019 12:15,4418,-,All Island
24 March 2019 12:30,4420,-,All Island
24 March 2019 12:45,4428,-,All Island
24 March 2019 13:00,4425,-,All Island
24 March 2019 13:15,4416,-,All Island
24 March 2019 13:30,4364,-,All Island
24 March 2019 13:45,4350,-,All Island
24 March 2019 14:00,4297,-,All Island
24 March 2019 14:15,4264,-,All Island
24 March 2019 14:30,4246,-,All Island
24 March 2019 14:45,4206,-,All Island
24 March 2019 15:00,4203,-,All Island
24 March 2019 15:15,4206,-,All Island
24 March 2019 15:30,4203,-,All Island
24 March 2019 15:45,4240,-,All Island
24 March 2019 16:00,4259,-,All Island
24 March 2019 16:15,4299,-,All Island
24 March 2019 16:30,4330,-,All Island
24 March 2019 16:45,4373,-,All Island
24 March 2019 17:00,4405,-,All Island
24 March 2019 17:15,4491,-,All Island
24 March 2019 17:30,4581,-,All Island
24 March 2019 17:45,4622,-,All Island
24 March 2019 18:00,4657,-,All Island
